20090913,ST
20090916,HV
20090920,ST
20090923,HV
20090926,ST
20091001,ST
20091004,ST
20091007,HV
20091011,ST
20091014,HV
20091017,ST
20091021,HV
20091025,ST
20091101,HV
20091104,ST
20091107,ST
20091111,HV
20091115,ST
20091118,HV
20091122,ST
20091125,HV
20091129,ST
20091202,HV
20091206,ST
20091209,HV
20091213,ST
20091216,HV
20091219,ST
20091223,HV
20091227,ST
20100101,ST
20100106,HV
20100110,ST
20100113,HV
20100116,ST
20100120,HV
20100124,ST
20100127,HV
20100131,ST
20100203,HV
20100207,ST
20100210,HV
20100216,ST
20100221,ST
20100224,HV
20100228,ST
20100303,HV
20100306,ST
20100310,HV
20100314,ST
20100317,HV
20100321,ST
20100324,HV
20100324,ST
20100327,ST
20100331,HV
20100404,ST
20100407,HV
20100410,ST
20100418,HV
20100421,HV
20100425,ST
20100428,HV
20100501,ST
20100505,ST
20100508,ST
20100512,HV
20100516,ST
20100519,HV
20100523,ST
20100526,HV
20100530,ST
20100602,HV
20100606,HV
20100606,ST
20100609,HV
20100612,ST
20100616,ST
20100620,HV
20100627,ST
20100701,ST
20100704,ST
20100707,HV
20100711,ST
20100714,HV